Position,Club Name,Points,Goals For,Season
1,Liverpool,99,85,2019/20
2,Manchester City,81,102,2019/20
3,Manchester United,66,66,2019/20
4,Chelsea,66,69,2019/20
5,Leicester City,62,67,2019/20
6,Tottenham Hotspur,59,61,2019/20
7,Wolverhampton Wanderers,59,51,2019/20
8,Arsenal,56,56,2019/20
9,Sheffield United,54,39,2019/20
10,Burnley,54,43,2019/20
11,Southampton,52,51,2019/20
12,Everton,49,44,2019/20
13,Newcastle United,44,38,2019/20
14,Crystal Palace,43,31,2019/20
15,Brighton and Hove Albion,41,39,2019/20
16,West Ham United,39,49,2019/20
17,Aston Villa,35,41,2019/20
18,Bournemouth,34,40,2019/20
19,Watford,34,36,2019/20
20,Norwich City,21,26,2019/20
