Player Name, Position, Nationality, Club, Height, DoB, Goals,Season,Season
Mika Ääritalo, Forward, Finland,Aston Villa,188cm,25/07/1985,0,2002/03,2002/03
Abel Xavier, Defender, Portugal,Liverpool,189cm,30/11/1972,0,2002/03,2002/03
Milenko Acimovic, Midfielder, Slovenia,Tottenham Hotspur,185cm,15/02/1977,0,2002/03,2002/03
Clarence Acuna, Midfielder, Chile,Newcastle United,178cm,08/02/1975,0,2002/03,2002/03
Chris Adamson, Goalkeeper, England,West Bromwich Albion,188cm,04/11/1978,0,2002/03,2002/03
Dele Adebola, Forward, Nigeria,Birmingham City,191cm,23/06/1975,0,2002/03,2002/03
Bülent Akin, Midfielder, Turkey,Bolton Wanderers,185cm,28/08/1979,0,2002/03,2002/03
Martin Albrechtsen, Defender, Denmark,West Bromwich Albion,188cm,31/03/1980,0,2002/03,2002/03
Niclas Alexandersson, Midfielder, Sweden,Everton,181cm,29/12/1971,0,2002/03,2002/03
Jérémie Aliadière, Forward, France,Arsenal,183cm,30/03/1983,1,2002/03,2002/03
Shaun Allaway, Goalkeeper, England,Leeds United,178cm,16/02/1983,0,2002/03,2002/03
Marcus Allbäck, Forward, Sweden,Aston Villa,178cm,05/07/1973,5,2002/03,2002/03
Alou Diarra, Midfielder, France,Liverpool,190cm,15/07/1981,0,2002/03,2002/03
Özalan Alpay, Defender, Turkey,Aston Villa,188cm,29/05/1973,0,2002/03,2002/03
Darren Ambrose, Midfielder, England,Newcastle United,183cm,29/02/1984,0,2002/03,2002/03
Gabriele Ambrosetti, Midfielder, Italy,Chelsea,178cm,07/08/1973,0,2002/03,2002/03
Stephan Andersen, Goalkeeper, Denmark,Charlton Athletic,188cm,26/11/1981,0,2002/03,2002/03
Darren Anderton, Midfielder, England,Tottenham Hotspur,185cm,03/03/1972,0,2002/03,2002/03
Pierre-Yves André, Forward, France,, , , ,2002/03,2002/03
Nicolas Anelka, Forward, France,Manchester City,185cm,14/03/1979,14,2002/03,2002/03
Juan Pablo Ángel, Forward, Colombia,Aston Villa,186cm,24/10/1975,1,2002/03,2002/03
Anthony Gardner, Defender, England,Tottenham Hotspur,196cm,19/09/1980,1,2002/03,2002/03
Patrik Anttonen, Midfielder, Sweden,Leeds United,178cm,06/03/1980,0,2002/03,2002/03
Michael Appleton, Midfielder, England,West Bromwich Albion,173cm,04/12/1975,0,2002/03,2002/03
Arni Gauter Arason, Goalkeeper, Iceland,Manchester City,188cm,07/05/1975,0,2002/03,2002/03
Julio Arca, Midfielder, Argentina,Sunderland,175cm,31/01/1981,0,2002/03,2002/03
Armando Sá, Defender, Mozambique,Leeds United,176cm,16/09/1975,0,2002/03,2002/03
Chris Armstrong, Forward, England,Bolton Wanderers,183cm,19/06/1971,0,2002/03,2002/03
Pegguy Arphexad, Goalkeeper, France,Liverpool,188cm,18/05/1973,0,2002/03,2002/03
Jamie Ashdown, Goalkeeper, England,Arsenal,178cm,30/11/1980,0,2002/03,2002/03
Nathan Ashton, Defender, England,Charlton Athletic,175cm,30/01/1987,0,2002/03,2002/03
Espen Baardsen, Goalkeeper, Norway,Everton,196cm,07/12/1977,0,2002/03,2002/03
Celestine Babayaro, Defender, Nigeria,Chelsea,175cm,29/08/1978,1,2002/03,2002/03
Phil Babb, Defender, Ireland,Sunderland,183cm,30/11/1970,0,2002/03,2002/03
Markus Babbel, Defender, Germany,Liverpool,191cm,08/09/1972,0,2002/03,2002/03
Chris Baird, Defender, Northern Ireland,Southampton,185cm,25/02/1982,0,2002/03,2002/03
Eirik Bakke, Midfielder, Norway,Leeds United,185cm,13/09/1977,1,2002/03,2002/03
Bosko Balaban, Forward, Croatia,Aston Villa,180cm,15/10/1978,0,2002/03,2002/03
Igor Balis, Defender, Slovakia,West Bromwich Albion,183cm,05/01/1970,2,2002/03,2002/03
Steve Banks, Goalkeeper, England,Bolton Wanderers,183cm,09/02/1972,0,2002/03,2002/03
Nick Barmby, Midfielder, England,Leeds United,170cm,11/02/1974,4,2002/03,2002/03
Lee Barnard, Forward, England,Tottenham Hotspur,178cm,18/07/1984,0,2002/03,2002/03
Anthony Barness, Defender, England,Bolton Wanderers,178cm,25/02/1973,0,2002/03,2002/03
Milan Baros, Forward, Czech Republic,Liverpool,183cm,28/10/1981,9,2002/03,2002/03
Graham Barrett, Forward, Ireland,Arsenal,178cm,06/10/1981,0,2002/03,2002/03
Gareth Barry, Midfielder, England,Aston Villa,185cm,23/02/1981,3,2002/03,2002/03
Chris Bart-Williams, Midfielder, England,Charlton Athletic,180cm,16/06/1974,1,2002/03,2002/03
Fabien Barthez, Goalkeeper, France,Manchester United,185cm,28/06/1971,0,2002/03,2002/03
Shaun Bartlett, Forward, South Africa,Charlton Athletic,184cm,31/10/1972,4,2002/03,2002/03
Joey Barton, Midfielder, England,Manchester City,172cm,02/09/1982,1,2002/03,2002/03
Christian Bassedas, Midfielder, Argentina,Newcastle United,173cm,16/02/1973,0,2002/03,2002/03
David Batty, Midfielder, England,Leeds United,173cm,02/12/1968,0,2002/03,2002/03
James Beattie, Forward, England,Southampton,185cm,27/02/1978,23,2002/03,2002/03
David Beckham, Midfielder, England,Manchester United,183cm,02/05/1975,6,2002/03,2002/03
Ryan Bell, Midfielder, England,Sunderland, ,12/12/1973,0,2002/03,2002/03
Craig Bellamy, Forward, Wales,Newcastle United,175cm,13/07/1979,7,2002/03,2002/03
David Bellion, Forward, France,Sunderland,181cm,27/11/1982,1,2002/03,2002/03
Djamel Belmadi, Midfielder, Algeria,, , , ,2002/03,2002/03
Francis Benali, Defender, England,Southampton,178cm,30/12/1968,0,2002/03,2002/03
Ali Benarbia, Midfielder, Algeria,Manchester City,173cm,08/10/1968,3,2002/03,2002/03
Ian Bennett, Goalkeeper, England,Birmingham City,183cm,10/10/1971,0,2002/03,2002/03
David Bentley, Midfielder, England,Arsenal,175cm,27/08/1984,0,2002/03,2002/03
Henning Berg, Defender, Norway,Blackburn Rovers,183cm,01/09/1969,1,2002/03,2002/03
Patrik Berger, Midfielder, Czech Republic,Liverpool,185cm,10/11/1973,0,2002/03,2002/03
Dennis Bergkamp, Forward, Netherlands,Arsenal,183cm,10/05/1969,4,2002/03,2002/03
Gudni Bergsson, Defender, Iceland,Bolton Wanderers,185cm,21/07/1965,1,2002/03,2002/03
Eyal Berkovic, Midfielder, Israel,Manchester City,170cm,02/04/1972,1,2002/03,2002/03
Olivier Bernard, Defender, France,Newcastle United,175cm,14/10/1979,2,2002/03,2002/03
Sekou Berthe, Defender, Mali,West Bromwich Albion,193cm,10/07/1977,0,2002/03,2002/03
Scott Bevan, Goalkeeper, England,Southampton,196cm,19/09/1979,0,2002/03,2002/03
Jonathan Bewers, Defender, England,Aston Villa,173cm,10/09/1982,0,2002/03,2002/03
Igor Biscan, Defender, Croatia,Liverpool,191cm,04/05/1978,0,2002/03,2002/03
Mikkel Bischoff, Defender, Denmark,Manchester City,191cm,03/02/1982,0,2002/03,2002/03
Joachim Björklund, Defender, Sweden,Sunderland,184cm,15/03/1971,0,2002/03,2002/03
Stig Inge Bjornebye, Defender, Norway,Blackburn Rovers,178cm,11/12/1969,0,2002/03,2002/03
Chris Black, Midfielder, England,Sunderland,183cm,07/09/1982,0,2002/03,2002/03
Laurent Blanc, Defender, France,Manchester United,191cm,19/11/1965,0,2002/03,2002/03
Alan Blayney, Goalkeeper, Northern Ireland,Southampton,188cm,09/10/1981,0,2002/03,2002/03
Jesper Blomqvist, Forward, Sweden,Charlton Athletic,175cm,05/02/1974,0,2002/03,2002/03
Jonathan Blondel, Midfielder, Belgium,Tottenham Hotspur,173cm,03/04/1984,0,2002/03,2002/03
George Boateng, Midfielder, Netherlands,Middlesbrough,175cm,05/09/1975,0,2002/03,2002/03
Winston Bogarde, Defender, Netherlands,Chelsea,191cm,22/10/1970,0,2002/03,2002/03
Alen Boksic, Forward, Croatia,Middlesbrough,188cm,31/01/1970,2,2002/03,2002/03
Mark Bosnich, Goalkeeper, Australia,Chelsea,185cm,13/01/1972,0,2002/03,2002/03
Michael Boulding, Forward, England,Aston Villa,178cm,08/02/1976,0,2002/03,2002/03
Lee Bowyer, Midfielder, England,West Ham United,175cm,03/01/1977,0,2002/03,2002/03
Titus Bramble, Defender, England,Newcastle United,185cm,31/07/1981,0,2002/03,2002/03
Raúl Bravo, Defender, Spain,Leeds United  (Loan),170cm,14/04/1981,0,2002/03,2002/03
Gary Breen, Defender, Ireland,West Ham United,185cm,12/12/1973,0,2002/03,2002/03
Stephen Brennan, Defender, Ireland,Newcastle United,173cm,20/03/1983,0,2002/03,2002/03
Rufus Brevett, Defender, England,West Ham United,173cm,24/09/1969,0,2002/03,2002/03
Wayne Bridge, Defender, England,Southampton,178cm,05/08/1980,1,2002/03,2002/03
Michael Bridges, Forward, England,Leeds United,185cm,05/08/1978,0,2002/03,2002/03
Mark Briggs, Midfielder, England,West Bromwich Albion,185cm,16/02/1982,0,2002/03,2002/03
Leon Britton, Midfielder, England,West Ham United,168cm,16/09/1982,0,2002/03,2002/03
Steve Brown, Defender, England,Charlton Athletic,180cm,13/05/1972,0,2002/03,2002/03
Goran Bunjevcevic, Defender, Serbia,Tottenham Hotspur,185cm,17/02/1973,0,2002/03,2002/03
Robert Burch, Goalkeeper, England,Tottenham Hotspur,188cm,08/10/1983,0,2002/03,2002/03
Jacob Burns, Midfielder, Australia,Leeds United,175cm,20/04/1978,0,2002/03,2002/03
Thomas Butler, Midfielder, Ireland,Sunderland,170cm,25/04/1981,0,2002/03,2002/03
Nicky Butt, Midfielder, England,Manchester United,178cm,21/01/1975,0,2002/03,2002/03
Shaun Byrne, Midfielder, Ireland,West Ham United,175cm,21/01/1981,0,2002/03,2002/03
Stephen Bywater, Goalkeeper, England,West Ham United,188cm,07/06/1981,0,2002/03,2002/03
Jamie Cade, Forward, England,Middlesbrough,173cm,15/01/1984,0,2002/03,2002/03
Tony Caig, Goalkeeper, England,Newcastle United,183cm,11/04/1974,0,2002/03,2002/03
